station,latitude,longitude
"S George Mason Dr & Four Mile Run	", 38.8526337,-77.1056488
"Montgomery & East Ln	", 38.983395,-77.0974877
"4th & E St SW	", 38.8832326,-77.0197406
"King Farm Blvd & Piccard Dr	", 39.1105942,-77.184643
"Kennebec St & 11th St N	", 38.8812016,-77.1373213
"Potomac Ave & 8th St SE	", 38.8768332,-76.9971699
"Mount Vernon Ave & E Del Ray Ave	", 38.8261213,-77.0608286
"East Falls Church Metro/Sycamore St & 19th St N	", 38.8845966,-77.1582806
"Columbus Ave & Gramercy Blvd	", 39.12333,-77.1670487
"Medical Center Metro 	", 38.9990844,-77.1000063
"S Troy St & 26th St S	", 38.8478037,-77.0776239
"Carroll & Westmoreland Ave	", 38.9750416,-77.0139018
"Greensboro & International Dr	", 38.9234934,-77.2285565
"Greensboro & Pinnacle Dr	", 38.9223087,-77.2313494
"New Jersey Ave & F St NW	", 38.8973436,-77.0140596
"14th & D St SE	", 38.8841038,-76.9877065
"21st St & Pennsylvania Ave NW	", 38.9013274,-77.0488465
"Woodglen Dr & Executive Blvd	", 39.043327,-77.1155917
"Lee Center	", 38.8946183,-77.1454642
"Norfolk & Rugby Ave	", 38.9907295,-77.1024478
"Anacostia Metro	", 38.8635596,-76.9968321
"15th & East Capitol St NE	", 38.889801,-76.9858337
"Executive Blvd & E Jefferson St	", 39.0489506,-77.1280816
"Court House Metro / 15th & N Uhle St 	", 38.890682,-77.0869967
"Sligo Ave & Carroll Ln	", 38.9907529,-77.0187019
"Calvert & Biltmore St NW	", 38.9232654,-77.049533
"14th & V St NW	", 38.9181132,-77.0341431
"California St & Florida Ave NW	", 38.9178137,-77.0425881
"Columbia Rd & Belmont St NW	", 38.9205817,-77.0461147
"Georgia Ave & Piney Branch Rd NW	", 38.9674749,-77.029675
"Shady Grove Hospital	", 39.0988389,-77.2007255
"14th St & New York Ave NW	", 38.8993304,-77.03416
"19th & E Street NW	", 38.9043252,-77.052215
"Fenton St & Gist Ave	", 38.9895226,-77.0261163
"Kansas Ave & Sherman Cr NW	", 38.9468708,-77.024421
"14th & Newton St NW	", 38.9318686,-77.0349359
"14th & L St NW	", 38.903746,-77.0341634
"Potomac Greens Dr & Slaters Ln	", 38.8214242,-77.0495861
"17th & Corcoran St NW	", 38.9118701,-77.0406742
"15th & W St NW	", 38.919252,-77.0369103
"D St & Maryland Ave NE	", 38.8947301,-76.999022
"20th & O St NW / Dupont South	", 38.9085788,-77.0470848
"New Jersey Ave & R St NW	", 38.9125993,-77.0195446
"3rd & Tingey St SE	", 38.8758439,-77.0050247
"Royal & Wilkes St	", 38.8001294,-77.0467798
"1st & Washington Hospital Center NW	", 38.9154627,-77.0613227
